host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
t,moderate,t,1,Western Addition,37.76931,-122.43386,Apartment,Entire home/apt,3,1,1,2,Real Bed,1,180,97.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
f,strict_14_with_grace_period,f,2,Bernal Heights,37.74511,-122.42102,Apartment,Entire home/apt,5,1,2,3,Real Bed,30,111,98.0,10.0,10.0,10.0,10.0,10.0,9.0,235.0
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.76669,-12.24525,Apartment,Private room,2,4,1,1,Real Bed,32,17,85.0,8.0,8.0,9.0,9.0,9.0,8.0,65.0
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.76487,-122.45183,Apartment,Private room,2,4,1,1,Real Bed,32,8,93.0,9.0,9.0,10.0,10.0,9.0,9.0,65.0
f,strict_14_with_grace_period,f,2,Western Addition,37.77525,-122.43637,House,Entire home/apt,5,1,2,2,Real Bed,7,27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,785.0
f,moderate,f,1,Western Addition,37.78471,-122.44555,Apartment,Entire home/apt,6,1,2,3,Real Bed,2,31,90.0,9.0,8.0,10.0,10.0,9.0,9.0,255.0
t,strict_14_with_grace_period,t,2,Mission,37.75919,-122.42237,Condominium,Private room,3,1,1,2,Real Bed,1,647,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0
f,strict_14_with_grace_period,f,1,Potrero Hill,37.76259,-122.40543,House,Private room,2,1,1,1,Real Bed,1,453,94.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
t,moderate,f,1,Mission,37.75874,-122.41327,Apartment,Entire home/apt,6,1,2,3,Real Bed,3,320,96.0,10.0,10.0,10.0,10.0,10.0,9.0,265.0
f,strict_14_with_grace_period,f,44,Haight Ashbury,37.77187,-122.43859,Apartment,Entire home/apt,3,1,3,3,Real Bed,30,37,89.0,9.0,9.0,10.0,9.0,9.0,9.0,177.0
f,strict_14_with_grace_period,f,44,Western Addition,37.77355,-122.42436,Apartment,Entire home/apt,5,2,3,3,Real Bed,30,14,91.0,10.0,10.0,10.0,9.0,10.0,9.0,194.0
f,strict_14_with_grace_period,f,44,Downtown/Civic Center,37.78574,-122.40798,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,19,92.0,10.0,9.0,10.0,10.0,10.0,9.0,139.0
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.77019,-122.44594,Apartment,Private room,2,4,1,2,Real Bed,32,6,80.0,9.0,8.0,9.0,10.0,9.0,7.0,85.0
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.76894,-122.44778,Apartment,Private room,2,3,1,2,Real Bed,32,5,64.0,6.0,6.0,10.0,9.0,9.0,8.0,85.0
t,strict_14_with_grace_period,t,1,Castro/Upper Market,37.76075,-122.43032,Apartment,Private room,1,1,1,1,Real Bed,3,390,98.0,10.0,10.0,10.0,10.0,10.0,10.0,79.0
t,strict_14_with_grace_period,f,2,Inner Sunset,37.76203,-122.45455,Townhouse,Entire home/apt,3,1,2,3,Real Bed,30,16,95.0,9.0,9.0,9.0,9.0,9.0,9.0,136.0
f,moderate,f,1,Mission,37.75491,-122.42246,Apartment,Entire home/apt,3,1,1,2,Real Bed,3,103,97.0,10.0,9.0,10.0,10.0,10.0,10.0,215.0
f,strict_14_with_grace_period,f,3,South of Market,37.78647,-122.39072,Condominium,Entire home/apt,4,2,2,2,Real Bed,90,14,96.0,10.0,10.0,10.0,10.0,10.0,9.0,450.0
t,strict_14_with_grace_period,f,1,Noe Valley,37.74888,-122.42982,Apartment,Entire home/apt,3,1,0,1,Real Bed,30,61,96.0,10.0,10.0,10.0,10.0,10.0,10.0,107.0
t,strict_14_with_grace_period,f,3,Western Addition,37.77252,-122.43216,Townhouse,Private room,2,1,1,1,Real Bed,2,363,97.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0
t,moderate,f,1,Mission,37.76349,-122.41517,Guest suite,Entire home/apt,2,1,0,1,Real Bed,5,227,96.0,10.0,10.0,10.0,10.0,9.0,9.0,198.0
