host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,cluster
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.766690000000004,-12.24525,Apartment,Private room,2,4,1,1,Real Bed,32,17,85.0,8.0,8.0,9.0,9.0,9.0,8.0,65.0,0
t,strict_14_with_grace_period,f,2,Potrero Hill,37.75645,-12.23991,Apartment,Private room,2,1,1,1,Real Bed,2,272,98.0,10.0,10.0,10.0,10.0,10.0,9.0,155.0,1
f,strict_14_with_grace_period,t,2,Western Addition,37.77478,-12.24315,Apartment,Entire home/apt,10,2,4,7,Real Bed,2,31,90.0,9.0,8.0,9.0,9.0,9.0,9.0,450.0,0
t,moderate,f,9,Pacific Heights,37.79312,-1.2242600000000001,Apartment,Private room,1,0,1,1,Real Bed,30,160,92.0,10.0,9.0,10.0,10.0,10.0,9.0,55.0,1
t,moderate,f,9,Pacific Heights,37.79166,-12.24265,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,38,93.0,9.0,9.0,10.0,10.0,10.0,9.0,115.0,1
f,flexible,t,20,Financial District,37.794470000000004,-12.24045,Hostel,Shared room,1,1,1,1,Real Bed,1,356,92.0,10.0,10.0,10.0,10.0,10.0,10.0,45.0,1
f,strict_14_with_grace_period,f,1,Downtown/Civic Center,37.78025,-12.24131,Loft,Entire home/apt,1,1,1,1,Real Bed,30,14,97.0,10.0,10.0,10.0,10.0,8.0,9.0,250.0,1
t,strict_14_with_grace_period,t,2,North Beach,37.80591,-12.24083,Condominium,Entire home/apt,4,1,1,2,Real Bed,30,6,96.0,10.0,10.0,10.0,10.0,10.0,9.0,125.0,1
f,flexible,f,1,North Beach,37.79835,-12.24042,Apartment,Entire home/apt,3,1,1,1,Real Bed,30,60,92.0,10.0,9.0,10.0,10.0,10.0,9.0,150.0,1
t,strict_14_with_grace_period,f,1,Russian Hill,37.80242,-12.241439999999999,Guest suite,Entire home/apt,2,1,1,1,Real Bed,3,433,95.0,10.0,9.0,10.0,10.0,10.0,10.0,165.0,1
